id,domain,katanga,kivu,notes
1,greetings,Jambo yenyu,Jambo,Starter (editable)
2,greetings,Habari kani?,Habari gani?,Starter (editable)
3,greetings,Ukwapi?,Uko wapi?,Starter (editable)
4,greetings,Unaenda wapi?,Unaenda wapi?,Starter (editable)
5,greetings,Wafwako,Asante,Starter (editable)
6,greetings,Asante sana,Asante sana,Starter (editable)
7,greetings,Karibu yenyu,Karibu,Starter (editable)
8,greetings,Wafwako,Pole,Starter (editable)
9,greetings,Pardon,Samahani,Starter (editable)
10,greetings,Pardon,Tafazali,Starter (editable)
11,greetings,Eyo,Ndiyo,Starter (editable)
12,greetings,Ni dje?,Aye?,Starter (editable)
13,greetings,Hapana,Hapana,Starter (editable)
14,greetings,Shidjuwi,Sijuwi,Starter (editable)
15,greetings,Sawa,Sawa,Starter (editable)
16,greetings,Mina elewa,Na helewa,Starter (editable)
17,greetings,Shi elewi,Sielewi,Starter (editable)
18,greetings,Shi comprendre,Sielewi,Starter (editable)
19,greetings,Ruriya emo,Rudiliya tena,Starter (editable)
20,greetings,Sema polepole,Ongea polepole,Starter (editable)
21,greetings,Niko na mambo,Niko na tatizo,Starter (editable)
22,greetings,Uni saidiye,Nisaidie,Starter (editable)
23,greetings,Tupatane kesho,Tuonane kesho,Starter (editable)
24,greetings,Miko nakuya sasa ivi,Nakuya saa iyi,Starter (editable)
25,greetings,Tshunga mbele,Chunga kwanza,Starter (editable)
26,greetings,Ni ngapi?,Ni ngapi?,Starter (editable)
27,greetings,Shusha bei,Punguza bei,Starter (editable)
28,greetings,Bari baripa?,Muli pokea?,Starter (editable)
29,greetings,Aiya ingiya bado,Bado aiya ingiya,Starter (editable)
30,greetings,Sauti ai shikilike,Sauti haisiliki,Starter (editable)
31,greetings,Bateri ina isha moto,Moto ina isha mu bateri,Starter (editable)
32,greetings,Shargere iko wapi?,Shargere iko wapi?,Starter (editable)
33,tech,Uko na temps?,Uko na temps?,"Starter (synthetic, review with native speakers)"
34,greetings,Niko besoin uni sahidiye,Ninahitaji msaada,"Starter (synthetic, review with native speakers)"
35,transport,Mina pata franga,Nimepata pesa,"Starter (synthetic, review with native speakers)"
36,commerce,Mita mitumiya buyumbe mu semene ya kesho,Nitatuma ujumbe wiki ijayo,"Starter (synthetic, review with native speakers)"
37,daily,Mitami tumiya buyumbe apre,Nitatuma ujumbe baadaye,"Starter (synthetic, review with native speakers)"
38,admin,Biko fasile,Ni rahisi sana,"Starter (synthetic, review with native speakers)"
39,admin,Nikya munene,Ni kubwa,"Starter (synthetic, review with native speakers)"
40,daily,Usifanye kuingia kwenye akaunti,Usifanye kuingia kwenye akaunti,"Starter (synthetic, review with native speakers)"
41,health,Tuna weza sumburiye asubuyi?,Tunaweza kuongea asubuhi?,"Starter (synthetic, review with native speakers)"
42,greetings,Tuna weza sumburiya magaribi?,Tunaweza kuongea jioni?,"Starter (synthetic, review with native speakers)"
43,mining,Niko preseh,Niko na haraka,"Starter (synthetic, review with native speakers)"
44,translation,Iko tayari,Ni tayari,"Starter (synthetic, review with native speakers)"
45,greetings,Tu sumburiye apreh?,Tunaweza kuongea baadaye?,"Starter (synthetic, review with native speakers)"
46,commerce,Mina omba ni enrejistreh sauti,Naomba kurekodi sauti,"Starter (synthetic, review with native speakers)"
47,mining,Mina enda ku hopital,Ninaenda hospitali,"Starter (synthetic, review with native speakers)"
48,commerce,Mina tuma buyumbe sasa ivi,Nitatuma ujumbe hivi sasa,"Starter (synthetic, review with native speakers)"
49,health,Mbaya sana,Ni mbaya sana,"Starter (synthetic, review with native speakers)"
50,tech,Mina tafuta ripe,Naomba kulipa,"Starter (synthetic, review with native speakers)"
51,translation,Mina enda ku kufunda,Ninaenda shuleni,"Starter (synthetic, review with native speakers)"
52,translation,Nitatuma ujumbe baadaye,Nitatuma ujumbe baadaye,"Starter (synthetic, review with native speakers)"
53,translation,Tunaweza kuongea kesho?,Tunaweza kuongea kesho?,"Starter (synthetic, review with native speakers)"
54,admin,Usifanye kulipa,Usifanye kulipa,"Starter (synthetic, review with native speakers)"
55,greetings,Tunaweza kuongea wiki ijayo?,Tunaweza kuongea wiki ijayo?,"Starter (synthetic, review with native speakers)"
56,admin,Una muda?,Una muda?,"Starter (synthetic, review with native speakers)"
57,commerce,Una chakula?,Una chakula?,"Starter (synthetic, review with native speakers)"
58,tech,Una chakula?,Una chakula?,"Starter (synthetic, review with native speakers)"
59,transport,Tafadhali nipe tiketi,Tafadhali nipe tiketi,"Starter (synthetic, review with native speakers)"
60,commerce,Ninaenda kituoni,Ninaenda kituoni,"Starter (synthetic, review with native speakers)"
61,commerce,Nitatuma ujumbe sasa,Nitatuma ujumbe hivi sasa,"Starter (synthetic, review with native speakers)"
62,daily,Nitatuma ujumbe asubuhi,Nitatuma ujumbe asubuhi,"Starter (synthetic, review with native speakers)"
63,greetings,Tafadhali nipe tiketi,Tafadhali nipe tiketi,"Starter (synthetic, review with native speakers)"
64,daily,Tunaweza kuongea asubuhi?,Tunaweza kuongea asubuhi?,"Starter (synthetic, review with native speakers)"
65,admin,Nitatuma ujumbe asubuhi,Nitatuma ujumbe asubuhi,"Starter (synthetic, review with native speakers)"
66,admin,Ni ngumu sana,Ni ngumu sana,"Starter (synthetic, review with native speakers)"
67,commerce,Naomba kulipa,Naomba kulipa,"Starter (synthetic, review with native speakers)"
68,commerce,Nimepata telefon,Nimepata simu,"Starter (synthetic, review with native speakers)"
69,daily,Naomba kutuma ujumbe,Naomba kutuma ujumbe,"Starter (synthetic, review with native speakers)"
70,health,Nitatuma ujumbe sasa,Nitatuma ujumbe sasa,"Starter (synthetic, review with native speakers)"
71,commerce,Niko bila muda,Niko bila muda,"Starter (synthetic, review with native speakers)"
72,commerce,Niko nimechoka,Niko nimechoka,"Starter (synthetic, review with native speakers)"
73,daily,Tunaweza kuongea kesho?,Tunaweza kuongea kesho?,"Starter (synthetic, review with native speakers)"
74,daily,Una chakula?,Una chakula?,"Starter (synthetic, review with native speakers)"
75,commerce,Ni ghali,Ni ghali,"Starter (synthetic, review with native speakers)"
76,admin,Tafadhali nipe maji,Tafadhali nipe maji,"Starter (synthetic, review with native speakers)"
77,translation,Ni nafuu,Ni nafuu,"Starter (synthetic, review with native speakers)"
78,commerce,Ninaenda sokoni,Ninaenda sokoni,"Starter (synthetic, review with native speakers)"
79,health,Nimepoteza network,Nimepoteza mtandao,"Starter (synthetic, review with native speakers)"
80,health,Ni nafuu sana,Ni nafuu sana,"Starter (synthetic, review with native speakers)"
81,daily,Tunaweza kuongea baadaye?,Tunaweza kuongea baadaye?,"Starter (synthetic, review with native speakers)"
82,commerce,Niko mgonjwa,Niko mgonjwa,"Starter (synthetic, review with native speakers)"
83,commerce,Nimepata risiti,Nimepata risiti,"Starter (synthetic, review with native speakers)"
84,translation,Nimepata network,Nimepata mtandao,"Starter (synthetic, review with native speakers)"
85,greetings,Nimepata maji,Nimepata maji,"Starter (synthetic, review with native speakers)"
86,greetings,Nimepata muda,Nimepata muda,"Starter (synthetic, review with native speakers)"
87,translation,Nitatuma ujumbe wiki ijayo,Nitatuma ujumbe wiki ijayo,"Starter (synthetic, review with native speakers)"
88,transport,Tafadhali nipe dawa,Tafadhali nipe dawa,"Starter (synthetic, review with native speakers)"
89,daily,Nimepoteza risiti,Nimepoteza risiti,"Starter (synthetic, review with native speakers)"
90,admin,Ni ngumu,Ni ngumu,"Starter (synthetic, review with native speakers)"
91,daily,Nitatuma ujumbe sasa,Nitatuma ujumbe sasa,"Starter (synthetic, review with native speakers)"
92,admin,Ni ngumu,Ni ngumu,"Starter (synthetic, review with native speakers)"
93,commerce,Nimepoteza maji,Nimepoteza maji,"Starter (synthetic, review with native speakers)"
94,admin,Niko na haraka,Niko na haraka,"Starter (synthetic, review with native speakers)"
95,tech,Niko nimechoka,Niko nimechoka,"Starter (synthetic, review with native speakers)"
96,daily,Ni nzuri sana,Ni nzuri sana,"Starter (synthetic, review with native speakers)"
97,transport,Ni nafuu,Ni nafuu,"Starter (synthetic, review with native speakers)"
98,translation,Nitatuma ujumbe wiki ijayo,Nitatuma ujumbe wiki ijayo,"Starter (synthetic, review with native speakers)"
99,health,Tunaweza kuongea jioni?,Tunaweza kuongea jioni?,"Starter (synthetic, review with native speakers)"
100,health,Niko bila muda,Niko bila muda,"Starter (synthetic, review with native speakers)"
101,translation,Usifanye kutuma ujumbe,Usifanye kutuma ujumbe,"Starter (synthetic, review with native speakers)"
102,commerce,Ni ngumu sana,Ni ngumu sana,"Starter (synthetic, review with native speakers)"
103,mining,Niko mgonjwa,Niko mgonjwa,"Starter (synthetic, review with native speakers)"
104,translation,Nitatuma ujumbe jioni,Nitatuma ujumbe jioni,"Starter (synthetic, review with native speakers)"
105,greetings,Una msaada?,Una msaada?,"Starter (synthetic, review with native speakers)"
106,translation,Tunaweza kuongea baadaye?,Tunaweza kuongea baadaye?,"Starter (synthetic, review with native speakers)"
107,admin,Ninahitaji chakula,Ninahitaji chakula,"Starter (synthetic, review with native speakers)"
108,health,Nitatuma ujumbe sasa,Nitatuma ujumbe hivi sasa,"Starter (synthetic, review with native speakers)"
109,mining,Ni nzuri,Ni nzuri,"Starter (synthetic, review with native speakers)"
110,transport,Tunaweza kuongea jioni?,Tunaweza kuongea jioni?,"Starter (synthetic, review with native speakers)"
111,mining,Ninahitaji chaja,Ninahitaji chaja,"Starter (synthetic, review with native speakers)"
112,tech,Nimepata chaja,Nimepata chaja,"Starter (synthetic, review with native speakers)"
113,transport,Tafadhali nipe chaja,tafadhali tafadhali nipe chaja,"Starter (synthetic, review with native speakers)"
114,transport,Tunaweza kuongea baadaye?,Tunaweza kuongea baadaye?,"Starter (synthetic, review with native speakers)"
115,mining,Ninaenda nyumbani,Ninaenda nyumbani,"Starter (synthetic, review with native speakers)"
116,tech,Tafadhali nipe muda,Tafadhali nipe muda,"Starter (synthetic, review with native speakers)"
117,tech,Tunaweza kuongea kesho?,Tunaweza kuongea kesho?,"Starter (synthetic, review with native speakers)"
118,transport,Niko sawa,Niko sawa,"Starter (synthetic, review with native speakers)"
119,tech,Ni tayari sana,Ni tayari sana,"Starter (synthetic, review with native speakers)"
120,greetings,Ni mbaya,Ni mbaya,"Starter (synthetic, review with native speakers)"
121,health,Naomba kuingia kwenye akaunti,Naomba kuingia kwenye akaunti,"Starter (synthetic, review with native speakers)"
122,greetings,Tafadhali nipe dawa,tafadhali tafadhali nipe dawa,"Starter (synthetic, review with native speakers)"
